OPEID,state abv,state,city_x,Name,Address,Zip Code,Zip Ext,"Prog
Length","School
Type",Year 1,"
Num 1","
Denom 1",DRate 1,PRate 1,Ethnic Code,Cong Dis,Region,"Average or
Greater than 30",Year 2,"
Num 2","
Denom 2",DRate 2,PRate 2,Year 3,"
Num 3","
Denom 3",DRate 3,PRate 3,zip,lat,lng,city_y,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,age_median,male,female,married,family_size,income_household_median,income_household_six_figure,home_ownership,home_value,rent_median,education_college_or_above,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple
1050,AL,Alabama,Tuskegee,TUSKEGEE UNIVERSITY                                              ,308 KRESGE CENTER                                 ,36088,1645,8,2,2016,115,850,13.5,P,2,3,4,0,2015,101.0,876.0,11.5,P,2014,93,806,11.5,P,36088,32.41685,-85.71784,Tuskegee Institute,AL,Alabama,True,,4802.0,549.6,1087.0,Macon,{'01087':100},Macon,01087,False,False,America/Chicago,21.7,41.7,58.3,12.2,3.05,27743.0,9.3,42.3,80791.0,645.0,26.0,50.7,16.7,1.2,97.4,1.0,0.2,0.0,0.0,0.1
42200,AR,Arkansas,Fort Smith,DESIGNER BARBER & STYLIST SCHOOL                                 ,2409 SOUTH 56TH STREET             SUITE 118      ,72903,3753,3,3,2016,6,30,20.0,A,5,3,6,0,2015,6.0,38.0,15.7,B,2014,1,10,10.0,B,72903,35.35138,-94.36031,Fort Smith,AR,Arkansas,True,,26143.0,602.5,5131.0,Sebastian,{'05131':100},Sebastian,05131,False,False,America/Chicago,38.8,47.3,52.7,47.4,2.91,44690.0,19.9,48.3,164722.0,658.0,27.2,60.2,3.6,78.5,5.9,5.8,1.4,0.1,3.5,4.7
1104,AR,Arkansas,Helena-West Helena,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS         ,1000 CAMPUS DRIVE                                 ,72342,0,5,1,2016,20,114,17.5,B,5,1,6,1,2015,4.0,35.0,11.4,A,2014,13,59,22.0,A,72342,34.458059999999996,-90.68596,Helena,AR,Arkansas,True,,4966.0,23.9,5107.0,Phillips,{'05107':100},Phillips,05107,False,False,America/Chicago,35.6,48.5,51.5,30.9,3.38,25985.0,16.2,39.2,99156.0,568.0,20.8,51.6,14.5,32.4,65.5,0.2,0.0,0.0,0.5,1.4
39745,CA,California,Canoga Park,CALIFORNIA CAREER COLLEGE                                        ,7003 OWENSMOUTH AVENUE                            ,91303,2006,5,3,2016,2,40,5.0,A,5,27,9,0,2015,7.0,71.0,9.8,A,2014,2,40,5.0,A,91303,34.19794,-118.60156,Canoga Park,CA,California,True,,31053.0,4792.8,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,32.1,51.4,48.6,40.0,3.78,55130.0,24.2,24.1,432049.0,1446.0,24.1,71.7,5.4,52.3,3.4,11.2,0.5,0.3,30.2,2.2
7130,CA,California,Granada Hills,NEWBERRY SCHOOL OF BEAUTY                                        ,16852 DEVONSHIRE STREET                           ,91344,7404,3,3,2016,5,88,5.6,P,5,27,9,0,2015,1.0,81.0,1.2,P,2014,6,92,6.5,P,91344,34.29392,-118.5075,Granada Hills,CA,California,True,,53266.0,1217.5,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,43.3,50.0,50.0,51.3,3.52,92286.0,45.9,75.1,593579.0,1754.0,39.0,64.0,6.4,59.7,4.6,16.7,0.7,0.2,13.5,4.7
20912,CA,California,Hollywood,ELEGANCE INTERNATIONAL                                           ,6767 SUNSET BOULEVARD                             ,90028,6106,3,3,2016,52,318,16.3,A,5,33,9,0,2015,12.0,181.0,6.6,A,2014,8,72,11.1,A,90028,34.09989,-118.32692,Los Angeles,CA,California,True,,30734.0,7273.3,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,35.7,55.0,45.0,21.3,2.89,43998.0,18.3,4.7,746587.0,1364.0,48.4,74.7,9.1,56.7,9.9,10.4,0.4,0.2,17.1,5.2
21618,CA,California,Hollywood,MUSICIANS INSTITUTE                                              ,6752 HOLLYWOOD BOULEVARD                          ,90028,6157,8,3,2016,33,432,7.6,A,5,33,9,0,2015,41.0,480.0,8.5,A,2014,52,542,9.5,A,90028,34.09989,-118.32692,Los Angeles,CA,California,True,,30734.0,7273.3,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,35.7,55.0,45.0,21.3,2.89,43998.0,18.3,4.7,746587.0,1364.0,48.4,74.7,9.1,56.7,9.9,10.4,0.4,0.2,17.1,5.2
40373,CA,California,Hollywood,LOS ANGELES FILM SCHOOL (THE)                                    ,6363 WEST SUNSET BOULEVARD                        ,90028,7300,6,3,2016,193,1077,17.9,A,5,31,9,0,2015,267.0,1205.0,22.1,A,2014,281,1384,20.3,A,90028,34.09989,-118.32692,Los Angeles,CA,California,True,,30734.0,7273.3,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,35.7,55.0,45.0,21.3,2.89,43998.0,18.3,4.7,746587.0,1364.0,48.4,74.7,9.1,56.7,9.9,10.4,0.4,0.2,17.1,5.2
40764,CA,California,Hollywood,GNOMON                                                           ,1015 NORTH CAHUENGA BOULEVARD      SUITE 5430I    ,90038,2616,6,3,2016,1,49,2.0,A,5,31,9,0,2015,1.0,39.0,2.5,A,2014,1,31,3.2,A,90038,34.08876,-118.32652,Los Angeles,CA,California,True,,27660.0,7127.3,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,33.8,53.3,46.7,29.2,3.3,39984.0,14.6,8.8,759533.0,1229.0,31.9,73.2,7.1,42.6,6.0,5.4,0.6,0.0,40.6,4.8
1317,CA,California,La Jolla,"UNIVERSITY OF CALIFORNIA, SAN DIEGO                              ",9500 GILMAN DRIVE                  SUITE #0013 - 4,92093,13,8,1,2016,80,4572,1.7,P,5,53,9,0,2015,105.0,4928.0,2.1,P,2014,118,5436,2.1,P,92093,32.87706,-117.23058,La Jolla,CA,California,False,92037.0,,,6073.0,San Diego,"{""06073"": 100}",San Diego,06073,False,False,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,
